Freq [GHz],0MG,50MG,100MG,150MG,200MG,250MG,300MG,350MG,400MG,450MG,500MG,550MG,600MG,650MG,700MG,750MG,800MG,850MG,900MG,950MG,1000MG
1.482,-16.69193338,-16.21450106,-15.81496239,-15.69190083,-15.66088259,-15.62497747,-15.60806839,-15.608068390000716,-15.608068390001431,-15.60806839000215,-15.608068390002868,-15.608068390003728,-15.60806839000443,-15.608068390005132,-15.608068390005831,-15.608068390006533,-15.608068390007235,-15.608068390007935,-15.608068390008636,-15.608068390009338,-15.608068390010038
1.488,-16.81585088,-16.31744022,-15.89587317,-15.76492951,-15.72826115,-15.69182502,-15.6735619,-15.673561900003213,-15.673561900006426,-15.67356190000964,-15.673561900012851,-15.673561900016708,-15.673561900019848,-15.67356190002299,-15.673561900026133,-15.673561900029275,-15.673561900032418,-15.673561900035558,-15.6735619000387,-15.673561900041843,-15.673561900044986
1.494,-16.94578399,-16.42702788,-15.98277716,-15.8436381,-15.80032154,-15.76384202,-15.7441189,-15.744118900013836,-15.744118900027674,-15.74411890004151,-15.744118900055346,-15.74411890007195,-15.744118900085478,-15.744118900099007,-15.744118900112538,-15.744118900126066,-15.744118900139595,-15.744118900153124,-15.744118900166653,-15.744118900180183,-15.744118900193712
1.5,-17.08177501,-16.54368197,-16.0761915,-15.92853366,-15.87750338,-15.84155287,-15.82025735,-15.820257350057243,-15.820257350114488,-15.82025735017173,-15.820257350228976,-15.820257350297668,-15.82025735035364,-15.82025735040961,-15.820257350465582,-15.820257350521553,-15.820257350577524,-15.820257350633495,-15.820257350689467,-15.820257350745438,-15.82025735080141
1.506,-17.22381052,-16.66783305,-16.17668362,-16.02016749,-15.96030873,-15.92554243,-15.90255586,-15.902555860227537,-15.902555860455074,-15.90255586068261,-15.902555860910146,-15.90255586118319,-15.902555861405672,-15.902555861628151,-15.902555861850631,-15.902555862073111,-15.902555862295593,-15.902555862518073,-15.902555862740552,-15.902555862963034,-15.902555863185514
1.512,-17.37181061,-16.79991936,-16.28487616,-16.11913872,-16.04931369,-16.01646225,-15.99166008,-15.991660080868972,-15.991660081737946,-15.99166008260692,-15.991660083475892,-15.99166008451866,-15.991660085368322,-15.991660086217985,-15.991660087067647,-15.991660087917309,-15.991660088766972,-15.991660089616634,-15.991660090466295,-15.991660091315959,-15.99166009216562
1.518,-17.52561796,-16.94037998,-16.40145194,-16.22609817,-16.14518263,-16.11503707,-16.08828943,-16.088289433188518,-16.08828943637704,-16.088289439565557,-16.088289442754075,-16.088289446580298,-16.08828944969796,-16.088289452815623,-16.088289455933285,-16.08828945905095,-16.088289462168614,-16.088289465286277,-16.08828946840394,-16.088289471521602,-16.088289474639264
1.524,-17.68498709,-17.0896457,-16.52715909,-16.34175253,-16.24868545,-16.22207152,-16.19324418,-16.193244191240876,-16.193244202481747,-16.193244213722622,-16.193244224963497,-16.193244238452547,-16.193244249443623,-16.1932442604347,-16.193244271425776,-16.193244282416853,-16.19324429340793,-16.193244304399006,-16.193244315390082,-16.19324432638116,-16.193244337372235
1.53,-17.84957473,-17.24812716,-16.66281579,-16.46686908,-16.36071874,-16.33845705,-16.30741269,-16.307412728074947,-16.3074127661499,-16.307412804224846,-16.307412842299797,-16.307412887989738,-16.307412925218575,-16.307412962447415,-16.307412999676256,-16.307413036905093,-16.307413074133933,-16.307413111362774,-16.30741314859161,-16.30741318582045,-16.30741322304929
1.536,-18.01893252,-17.41619982,-16.80931442,-16.60228063,-16.48233152,-16.46517857,-16.43177867,-16.431778793910134,-16.431778917820267,-16.431779041730397,-16.43177916564053,-16.43177931433269,-16.431779435489265,-16.43177955664584,-16.431779677802414,-16.43177979895899,-16.431779920115563,-16.431780041272138,-16.431780162428712,-16.431780283585287,-16.43178040474186
1.542,-18.19250329,-17.59418531,-16.96762424,-16.74889096,-16.61475615,-16.60332076,-16.56742816,-16.567428547438283,-16.567428934876567,-16.56742932231485,-16.567429709753135,-16.567430174679075,-16.56743055350762,-16.567430932336165,-16.567431311164707,-16.567431689993253,-16.567432068821798,-16.56743244765034,-16.567432826478885,-16.56743320530743,-16.567433584135973
1.548,-18.36962301,-17.78232905,-17.13879195,-16.90768026,-16.75944518,-16.75407348,-16.71555579,-16.715556953928928,-16.715558117857857,-16.71555928178679,-16.715560445715717,-16.715561842430432,-16.715562980494273,-16.715564118558113,-16.715565256621957,-16.715566394685798,-16.71556753274964,-16.715568670813482,-16.715569808877323,-16.715570946941163,-16.715572085005007
1.554,-18.54953022,-17.98077416,-17.32393837,-17.07971074,-16.91811358,-16.91873553,-16.87746967,-16.877473029530695,-16.87747638906139,-16.877479748592084,-16.877483108122775,-16.87748713955961,-16.877490424434065,-16.87749370930852,-16.877496994182977,-16.877500279057433,-16.87750356393189,-16.877506848806345,-16.877510133680804,-16.87751341855526,-16.877516703429716
1.56,-18.73138533,-18.1895324,-17.52424974,-17.26613149,-17.0927849,-17.09871594,-17.05459416,-17.05460347663293,-17.05461279326586,-17.05462210989879,-17.05463142653172,-17.054642606491235,-17.05465171608788,-17.054660825684522,-17.054669935281165,-17.05467904487781,-17.05468815447445,-17.054697264071095,-17.054706373667738,-17.05471548326438,-17.05472459286102
1.566,-18.91430185,-18.4084536,-17.74096059,-17.4681823,-17.2858362,-17.2955314,-17.24846908,-17.248493903760764,-17.248518727521528,-17.248543551282292,-17.248568375043057,-17.248598163555975,-17.24862243567761,-17.248646707799246,-17.248670979920885,-17.24869525204252,-17.24871952416416,-17.248743796285794,-17.24876806840743,-17.248792340529068,-17.248816612650703
1.572,-19.09739125,-18.63719653,-17.97532503,-17.68719488,-17.50003062,-17.5107979,-17.46074364,-17.460807188366292,-17.46087073673258,-17.460934285098872,-17.46099783346516,-17.46107409150471,-17.46113622768508,-17.461198363865456,-17.461260500045828,-17.4613226362262,-17.461384772406575,-17.461446908586947,-17.46150904476732,-17.461571180947693,-17.461633317128065
1.578,-19.27982212,-18.87520564,-18.22857176,-17.92459005,-17.7385157,-17.74621408,-17.69316262,-17.693318923759435,-17.693475227518874,-17.69363153127831,-17.693787835037746,-17.69397539954907,-17.694128229891632,-17.694281060234193,-17.694433890576754,-17.694586720919315,-17.694739551261875,-17.694892381604433,-17.695045211946994,-17.695198042289555,-17.695350872632115
1.584,-19.46089308,-19.12170072,-18.50183797,-18.18186783,-18.00474661,-18.00353273,-17.94754132,-17.947910690900578,-17.94828006180116,-17.94864943270174,-17.949018803602318,-17.949462048683014,-17.949823211341357,-17.950184373999704,-17.950545536658048,-17.950906699316395,-17.95126786197474,-17.951629024633085,-17.95199018729143,-17.952351349949772,-17.95271251260812
1.59,-19.64011644,-19.37568827,-18.796077,-18.46058693,-18.30226722,-18.28451622,-18.22572476,-18.226563416569757,-18.227402073139512,-18.228240729709267,-18.229079386279025,-18.23008577416273,-18.230905793919828,-18.231725813676924,-18.232545833434017,-18.233365853191113,-18.234185872948206,-18.235005892705303,-18.2358259124624,-18.236645932219492,-18.23746595197659
1.596,-19.81730777,-19.63600636,-19.11193683,-18.76232792,-18.63425036,-18.59087037,-18.52952568,-18.5313551860472,-18.5331846920944,-18.535014198141603,-18.536843704188804,-18.539039111445447,-18.54082796180271,-18.542616812159974,-18.544405662517235,-18.5461945128745,-18.54798336323176,-18.549772213589026,-18.55156106394629,-18.553349914303553,-18.555138764660818
1.602,-19.99267326,-19.9014148,-19.44961247,-19.08863317,-19.00268716,-18.92415161,-18.86063529,-18.864469816698318,-18.868304343396623,-18.872138870094936,-18.875973396793245,-18.880574828831218,-18.884324143825122,-18.888073458819026,-18.891822773812933,-18.895572088806837,-18.89932140380074,-18.903070718794645,-18.90682003378855,-18.910569348782452,-18.914318663776356
1.608,-20.16688508,-20.17074151,-19.80868772,-19.4409152,-19.40718306,-19.28564413,-19.22050188,-19.22822366852059,-19.235945457041183,-19.243667245561777,-19.25138903408237,-19.26065518030708,-19.268205373527213,-19.275755566747346,-19.283305759967483,-19.290855953187616,-19.29840614640775,-19.305956339627887,-19.31350653284802,-19.321056726068154,-19.32860691928829
1.614,-20.34113205,-20.44308991,-20.18800526,-19.82032614,-19.84357377,-19.67621014,-19.61017809,-19.625118147237515,-19.640058204475032,-19.654998261712542,-19.669938318950063,-19.687866387635083,-19.70247444360065,-19.71708249956622,-19.73169055553179,-19.746298611497362,-19.760906667462933,-19.775514723428504,-19.790122779394075,-19.804730835359642,-19.819338891325213
1.62,-20.51713209,-20.71810163,-20.58563901,-20.22758718,-20.30309484,-20.09613212,-20.03015124,-20.057923731345603,-20.08569622269121,-20.113468714036816,-20.141241205382425,-20.174568194997153,-20.201723519868413,-20.228878844739672,-20.25603416961093,-20.28318949448219,-20.31034481935345,-20.33750014422471,-20.36465546909597,-20.391810793967228,-20.418966118838487
1.626,-20.69709118,-20.99625245,-20.99908672,-20.66279634,-20.7734093,-20.54499614,-20.48020028,-20.529803016860924,-20.57940575372185,-20.629008490582773,-20.6786112274437,-20.73813451167681,-20.786634965496383,-20.835135419315954,-20.883635873135525,-20.932136326955096,-20.980636780774667,-21.029137234594238,-21.07763768841381,-21.126138142233383,-21.174638596052954
1.632,-20.88359215,-21.27914066,-21.42583331,-21.12527608,-21.2426075,-21.02171816,-20.95937536,-21.044493996836497,-21.129612633672995,-21.214731270509493,-21.29984990734599,-21.401992271549787,-21.48521938312325,-21.568446494696715,-21.651673606270183,-21.734900717843647,-21.81812782941711,-21.901354940990576,-21.98458205256404,-22.067809164137504,-22.15103627571097
1.638,-21.07939387,-21.5697077,-21.86441881,-21.6136059,-21.70546425,-21.52488901,-21.46627459,-21.606611497085336,-21.74694840417067,-21.887285311256,-22.02762221834133,-22.196026506843733,-22.333244815993837,-22.47046312514394,-22.607681434294044,-22.744899743444147,-22.88211805259425,-23.019336361744354,-23.156554670894458,-23.293772980044565,-23.43099128919467
1.644,-21.28711716,-21.87231707,-22.31602842,-22.12611573,-22.16869246,-22.05369134,-21.99988316,-22.222187203648463,-22.44449124729693,-22.666795290945394,-22.88909933459386,-23.155864186972018,-23.373228140761626,-23.590592094551237,-23.807956048340845,-24.025320002130456,-24.242683955920068,-24.460047909709676,-24.677411863499287,-24.894775817288895,-25.112139771078507
1.65,-21.50878811,-22.19260805,-22.7863927,-22.6622621,-22.65180777,-22.60966574,-22.56128759,-22.89962579809153,-23.23796400618306,-23.57630221427459,-23.91464042236612,-24.320646272075955,-24.651465853321007,-24.98228543456606,-25.31310501581111,-25.643924597056163,-25.974744178301215,-26.305563759546267,-26.63638334079132,-26.96720292203637,-27.298022503281423
1.656,-21.74520568,-22.53703278,-23.28752366,-23.22534688,-23.18367244,-23.19948754,-23.15648622,-23.651232967709035,-24.145979715418072,-24.64072646312711,-25.135473210836142,-25.729169308086984,-26.212921683624707,-26.696674059162433,-27.180426434700156,-27.66417881023788,-28.1479311857756,-28.631683561313324,-29.11543593685105,-29.599188312388772,-30.082940687926495
1.662,-21.99510564,-22.91196524,-23.83870035,-23.82674292,-23.79815878,-23.83861545,-23.80021641,-24.495309661132985,-25.19040291226597,-25.88549616339895,-26.580589414531936,-27.414701315891516,-28.094348050332655,-28.773994784773794,-29.453641519214937,-30.133288253656076,-30.812934988097215,-31.492581722538354,-32.1722284569795,-32.85187519142063,-33.531521925861774
1.668,-22.25412318,-23.32222675,-24.4662871,-24.49101886,-24.53229556,-24.55533706,-24.52033188,-25.4586096271285,-26.396887374256995,-27.335165121385494,-28.27344286851399,-29.399376165068187,-30.31680329559383,-31.23423042611947,-32.15165755664511,-33.06908468717075,-33.986511817696396,-34.903938948222034,-35.82136607874768,-36.73879320927332,-37.65622033979896
1.674,-22.51363894,-23.76880077,-25.20227292,-25.26047345,-25.42813954,-25.39479619,-25.36225786,-26.579138499899926,-27.796019139799853,-29.012899779699783,-30.22978041959971,-31.69003718747962,-32.87987603538178,-34.06971488328393,-35.259553731186074,-36.449392579088226,-37.63923142699038,-38.82907027489253,-40.01890912279468,-41.208747970696834,-42.398586818598986
1.68,-22.75976227,-24.24545564,-26.08131493,-26.1976173,-26.5383845,-26.42359426,-26.39410321,-27.91042985928158,-29.42675650856317,-30.943083157844747,-32.45940980712633,-34.279001786264224,-35.761632287783996,-37.24426278930376,-38.72689329082353,-40.209523792343305,-41.69215429386307,-43.17478479538284,-44.65741529690261,-46.14004579842238,-47.62267629994215
1.686,-22.97297018,-24.73413254,-27.13452016,-27.38567957,-27.93618784,-27.73788891,-27.71572982,-29.531102412684227,-31.34647500536845,-33.16184759805268,-34.9772201907369,-37.155667301957976,-38.930698281471436,-40.7057292609849,-42.48076024049837,-44.25579122001184,-46.0308221995253,-47.80585317903877,-49.58088415855224,-51.3559151380657,-53.13094611757917
1.692,-23.12918418,-25.19973441,-28.3730286,-28.92801578,-29.73051922,-29.48200855,-29.48059576,-31.56877128852818,-33.65694681705636,-35.74512234558454,-37.83329787411272,-40.33910850834654,-42.38088013624076,-44.42265176413498,-46.4644233920292,-48.50619501992342,-50.54796664781764,-52.58973827571186,-54.63150990360608,-56.6732815315003,-58.715053159394515
